pays,id,date,idh,pop
Japan,JPN,1990,0.816,1075317
Japan,JPN,1995,0.84,1362371
Japan,JPN,2000,0.855,1686444
Japan,JPN,2005,0.873,2011555
Japan,JPN,2010,0.885,2134151
Japan,JPN,2015,0.905,2232189
Japan,JPN,2019,0.909,2498891
Jordan,JOR,1990,0.617,1146349
Jordan,JOR,1995,0.684,1537097
Jordan,JOR,2000,0.702,1927845
Jordan,JOR,2005,0.729,2325414
Jordan,JOR,2010,0.728,2722983
Jordan,JOR,2015,0.733,3112026
Jordan,JOR,2019,0.735,3346703
Kazakhstan,KAZ,2000,0.685,2874194
Kazakhstan,KAZ,2005,0.747,3103027
Kazakhstan,KAZ,1995,0.664,3251968
Kazakhstan,KAZ,2010,0.765,3334937
Kazakhstan,KAZ,2015,0.797,3546060
Kazakhstan,KAZ,1990,0.69,3619200
Kazakhstan,KAZ,2019,0.8,3705556
Kenya,KEN,1990,0.468,298089
Kenya,KEN,1995,0.456,618745
Kenya,KEN,2000,0.451,707852
Kenya,KEN,2005,0.49,773354
Kenya,KEN,2010,0.543,954925
Kenya,KEN,2019,0.59,1044854
Kenya,KEN,2015,0.578,1126886
Kiribati,KIR,2000,0.552,2283
Kiribati,KIR,2005,0.585,2487
Kiribati,KIR,2010,0.59,2868
Kiribati,KIR,2015,0.621,2919
Kiribati,KIR,2019,0.612,3022
Korea,,1990,0.728,34103
Korea,,1995,0.778,35143
Korea,,2000,0.817,36183
Korea,,2005,0.855,40097
Korea,,2010,0.884,44010
Korea,,2015,0.898,48458
Korea,,2019,0.903,49393
Kuwait,KWT,1995,0.747,921954
Kuwait,KWT,1990,0.713,1074391
Kuwait,KWT,2000,0.786,1127640
Kuwait,KWT,2005,0.783,1333327
Kuwait,KWT,2010,0.792,1871537
Kuwait,KWT,2015,0.802,2866136
Kuwait,KWT,2019,0.803,3034845
Kyrgyzstan,KGZ,2019,0.672,200260
Kyrgyzstan,KGZ,2015,0.666,204382
Kyrgyzstan,KGZ,2010,0.636,232065
Kyrgyzstan,KGZ,2005,0.616,309399
Kyrgyzstan,KGZ,2000,0.594,389824
Kyrgyzstan,KGZ,1995,0.563,518338
Kyrgyzstan,KGZ,1990,0.618,623083
Laos,LAO,2005,0.506,20371
Laos,LAO,2000,0.466,21948
Laos,LAO,1990,0.4,22866
Laos,LAO,1995,0.428,23526
Laos,LAO,2010,0.546,32955
Laos,LAO,2015,0.593,45538
Laos,LAO,2019,0.601,48275
Latvia,LVA,2019,0.847,237266
Latvia,LVA,2015,0.841,265418
Latvia,LVA,2010,0.816,313786
Latvia,LVA,2005,0.802,376725
Latvia,LVA,2000,0.728,430178
Latvia,LVA,1995,0.673,538093
Latvia,LVA,1990,0.704,646007
Lebanon,LBN,2005,0.732,756784
Lebanon,LBN,2010,0.758,820655
Lebanon,LBN,2019,0.757,1863873
Lebanon,LBN,2015,0.752,1973204
Lesotho,LSO,2000,0.467,6167
Lesotho,LSO,2005,0.461,6290
Lesotho,LSO,2010,0.493,6414
Lesotho,LSO,2015,0.511,6572
Lesotho,LSO,2019,0.52,6928
Lesotho,LSO,1995,0.492,7204
Lesotho,LSO,1990,0.499,8240
Liberia,LBR,2005,0.378,87188
Liberia,LBR,2019,0.435,94448
Liberia,LBR,2010,0.407,99129
Liberia,LBR,2015,0.432,113779
Liberia,LBR,2000,0.387,151868
Libya,LBY,1990,0.677,457075
Libya,LBY,1995,0.704,508041
Libya,LBY,2000,0.727,567436
Libya,LBY,2005,0.747,625212
Libya,LBY,2010,0.755,683998
Libya,LBY,2015,0.694,771146
Libya,LBY,2019,0.706,818216
Liechtenstein,LIE,2000,0.862,15483
Liechtenstein,LIE,2005,0.886,18898
Liechtenstein,LIE,2010,0.904,22342
Liechtenstein,LIE,2015,0.912,23799
Liechtenstein,LIE,2019,0.916,25467
Lithuania,LTU,2019,0.858,117218
Lithuania,LTU,2015,0.852,136021
Lithuania,LTU,2010,0.824,160772
Lithuania,LTU,2005,0.809,201209
Lithuania,LTU,2000,0.756,214311
Lithuania,LTU,1995,0.703,273587
Lithuania,LTU,1990,0.732,349258
Luxembourg,LUX,1990,0.782,113795
Luxembourg,LUX,1995,0.808,126106
Luxembourg,LUX,2000,0.855,139750
Luxembourg,LUX,2005,0.878,150618
Luxembourg,LUX,2010,0.889,163142
Luxembourg,LUX,2015,0.899,248888
Luxembourg,LUX,2019,0.904,291723
Macedonia,MKD,2000,0.669,125665
Macedonia,MKD,2005,0.702,127667
Macedonia,MKD,2010,0.735,129701
Macedonia,MKD,2015,0.754,130730
Macedonia,MKD,2019,0.757,131175
Madagascar,MDG,2000,0.456,23541
Madagascar,MDG,2005,0.479,26058
Madagascar,MDG,2010,0.504,28905
Madagascar,MDG,2015,0.514,32075
Madagascar,MDG,2019,0.519,34934
Malawi,MWI,2010,0.441,217722
Malawi,MWI,2005,0.38,221661
Malawi,MWI,2000,0.399,232620
Malawi,MWI,2015,0.47,232803
Malawi,MWI,1995,0.398,241624
Malawi,MWI,2019,0.477,247652
Malawi,MWI,1990,0.34,1127724
Malaysia,MYS,1990,0.643,695920
Malaysia,MYS,1995,0.683,937368
Malaysia,MYS,2000,0.725,1463598
Malaysia,MYS,2005,0.731,1918504
Malaysia,MYS,2010,0.772,2417395
Malaysia,MYS,2015,0.795,3280681
Malaysia,MYS,2019,0.802,3430380
Maldives,MDV,1995,0.539,18510
Maldives,MDV,2000,0.606,27092
Maldives,MDV,2005,0.631,45045
Maldives,MDV,2010,0.671,54659
Maldives,MDV,2015,0.71,64273
Maldives,MDV,2019,0.717,69249
Mali,MLI,1990,0.231,160736
Mali,MLI,1995,0.262,176187
Mali,MLI,2000,0.308,189475
Mali,MLI,2005,0.363,256797
Mali,MLI,2010,0.403,339375
Mali,MLI,2015,0.418,420504
Mali,MLI,2019,0.427,468230
Malta,MLT,1990,0.74,15077
Malta,MLT,1995,0.759,17740
Malta,MLT,2000,0.783,21521
Malta,MLT,2005,0.824,24560
Malta,MLT,2010,0.843,33008
Malta,MLT,2015,0.871,52642
Malta,MLT,2019,0.878,84949
Marshall Islands,MHL,2019,0.708,3296
Mauritania,MRT,2000,0.442,57366
Mauritania,MRT,2005,0.466,58119
Mauritania,MRT,2010,0.487,84679
Mauritania,MRT,1995,0.418,89562
Mauritania,MRT,1990,0.374,111650
Mauritania,MRT,2015,0.514,166552
Mauritania,MRT,2019,0.52,172987
Mauritius,MUS,1990,0.619,3613
Mauritius,MUS,1995,0.648,7493
Mauritius,MUS,2000,0.673,15543
