pays,id,date,idh,pop
Bolivia,BOL,2010,0.649,0.01222519776406441
Bolivia,BOL,2015,0.681,0.013154788573405227
Bolivia,BOL,2019,0.693,0.013750730854947468
Bosnia and Herzegovina,BIH,2000,0.672,0.02211359850884096
Bosnia and Herzegovina,BIH,2005,0.7,0.012554540357806525
Bosnia and Herzegovina,BIH,2010,0.713,0.010468841756191923
Bosnia and Herzegovina,BIH,2015,0.755,0.01124815964256898
Bosnia and Herzegovina,BIH,2019,0.768,0.010750831320404256
Botswana,BWA,1990,0.581,0.021379344646537495
Botswana,BWA,1995,0.577,0.027340532843625056
Botswana,BWA,2000,0.565,0.04559876446297588
Botswana,BWA,2005,0.596,0.047031868545999674
Botswana,BWA,2010,0.66,0.047613991208315616
Botswana,BWA,2015,0.706,0.048694874749848634
Botswana,BWA,2019,0.717,0.04906380566126295
Brazil,BRA,1990,0.611,0.005359058575531618
Brazil,BRA,1995,0.648,0.0045769502283842965
Brazil,BRA,2000,0.684,0.003916669536771883
Brazil,BRA,2005,0.7,0.003430892060894538
Brazil,BRA,2010,0.727,0.0030277297746781925
Brazil,BRA,2015,0.757,0.0035044837901314387
Brazil,BRA,2019,0.759,0.003852621233104323
Brunei,BRN,1990,0.782,0.28293026078285105
Brunei,BRN,1995,0.805,0.2852373163162961
Brunei,BRN,2000,0.819,0.28903396215088617
Brunei,BRN,2005,0.838,0.2696171606676271
Brunei,BRN,2010,0.842,0.25881393350246756
Brunei,BRN,2015,0.852,0.24760488495012134
Brunei,BRN,2019,0.853,0.2579272756094945
Bulgaria,BGR,1990,0.694,0.002467227227727826
Bulgaria,BGR,1995,0.696,0.003858522659883629
Bulgaria,BGR,2000,0.712,0.005307109813600008
Bulgaria,BGR,2005,0.75,0.007974177213338814
Bulgaria,BGR,2010,0.779,0.010315188803503272
Bulgaria,BGR,2015,0.807,0.017247583620542295
Bulgaria,BGR,2019,0.813,0.023990720103140337
Burkina Faso,BFA,2000,0.286,0.04482818745993045
Burkina Faso,BFA,2005,0.324,0.0445284694526048
Burkina Faso,BFA,2010,0.375,0.043218751780254
Burkina Faso,BFA,2015,0.412,0.03890953729700313
Burkina Faso,BFA,2019,0.423,0.036368717671816396
Burundi,BDI,1990,0.297,0.061245198298129584
Burundi,BDI,1995,0.296,0.042567424352890064
Burundi,BDI,2000,0.303,0.01969439419608893
Burundi,BDI,2005,0.33,0.023472809130707404
Burundi,BDI,2010,0.395,0.027117311282836627
Burundi,BDI,2015,0.418,0.028524522073261595
Burundi,BDI,2019,0.417,0.0287254712994943
Cambodia,KHM,1990,0.364,0.00427548161977415
Cambodia,KHM,1995,0.387,0.00865510563020111
Cambodia,KHM,2000,0.42,0.012018274589253242
Cambodia,KHM,2005,0.49,0.008590971053736681
Cambodia,KHM,2010,0.537,0.005727765910678238
Cambodia,KHM,2015,0.571,0.004765216311171209
Cambodia,KHM,2019,0.582,0.004839998626444464
Cameroon,CMR,1990,0.44,0.022577675141306246
Cameroon,CMR,1995,0.422,0.017999354117077163
Cameroon,CMR,2000,0.431,0.014647596082105486
Cameroon,CMR,2005,0.466,0.014971908956032709
Cameroon,CMR,2010,0.506,0.014329214230341206
Cameroon,CMR,2015,0.548,0.02181895315586053
Cameroon,CMR,2019,0.556,0.02005422141297292
Canada,CAN,1990,0.849,0.15648753763749254
Canada,CAN,1995,0.861,0.1660202842021573
Canada,CAN,2000,0.867,0.17962466592777815
Canada,CAN,2005,0.892,0.18853217862077035
